,,定気法,,,恒気法,
節・中,節気名,太陽黄経,年月日,時刻,年月日,時刻
十二月節,小寒,285,2025/ 1/05,12,2025/ 1/05,24
十二月中,大寒,300,2025/ 1/20, 5,2025/ 1/21, 5
正月節,立春,315,2025/ 2/03,23,2025/ 2/05,10
正月中,雨水,330,2025/ 2/18,19,2025/ 2/20,15
二月節,啓蟄,345,2025/ 3/05,17,2025/ 3/07,21
二月中,春分,0,2025/ 3/20,18,2025/ 3/23, 2
三月節,清明,15,2025/ 4/04,22,2025/ 4/07, 7
三月中,穀雨,30,2025/ 4/20, 5,2025/ 4/22,12
四月節,立夏,45,2025/ 5/05,15,2025/ 5/07,17
四月中,小満,60,2025/ 5/21, 4,2025/ 5/22,23
五月節,芒種,75,2025/ 6/05,19,2025/ 6/07, 4
五月中,夏至,90,2025/ 6/21,12,2025/ 6/22, 9
六月節,小暑,105,2025/ 7/07, 5,2025/ 7/07,14
六月中,大暑,120,2025/ 7/22,22,2025/ 7/22,20
七月節,立秋,135,2025/ 8/07,15,2025/ 8/07, 1
七月中,処暑,150,2025/ 8/23, 6,2025/ 8/22, 6
八月節,白露,165,2025/ 9/07,18,2025/ 9/06,11
八月中,秋分,180,2025/ 9/23, 3,2025/ 9/21,17
九月節,寒露,195,2025/10/08,10,2025/10/06,22
九月中,霜降,210,2025/10/23,13,2025/10/22, 3
十月節,立冬,225,2025/11/07,13,2025/11/06, 8
十月中,小雪,240,2025/11/22,11,2025/11/21,14
十一月節,大雪,255,2025/12/07, 6,2025/12/06,19
十一月中,冬至,270,2025/12/22, 0,2025/12/22, 0
十二月節,小寒,285,2026/ 1/05,17,2026/ 1/06, 5
十二月中,大寒,300,2026/ 1/20,11,2026/ 1/21,11
